,id,tipo,nombre,latitud,longitud,elevacion,iso_region,Ciudad,score
636,38954,heliport,Morrison Heliport,-32.0,-62.0,465.0,AR-X,Morrison,25
637,38908,heliport,La Superba Heliport,-34.5008,-59.015,32.0,AR-B,Open Door,25
638,38870,heliport,Hospital Materno Infantil San Roque Heliport,-31.73,-60.5217,265.0,AR-E,Paraná,25
639,39038,heliport,Transener S.A. Heliport,-40.1622,-70.3917,2302.0,AR-Q,Piedra Del Aguila,25
640,38729,heliport,Ayres De Pilar Heliport,-34.4375,-58.7983,45.0,AR-B,Pilar,25
641,38945,heliport,Memorial Heliport,-34.4433,-58.8381,62.0,AR-B,Pilar,25
642,39036,heliport,Transener S.A. Heliport,-38.1472,-65.8228,751.0,AR-L,Puelches,25
643,39035,heliport,Recreo / Transener S.A. Heliport,-29.2628,-65.0582,810.0,AR-K,Recreo,25
644,38725,heliport,Austral Heliport,-52.8936,-68.3553,127.0,AR-V,Rio Cullen,25
645,38992,heliport,Estancia Rio Ewan Heliport,-54.233548,-67.213246,112.0,AR-V,Río Grande,25
646,39040,heliport,Transener S.A. Heliport,-29.4606,-59.7636,190.0,AR-S,Romang,25
647,38768,heliport,Centro Cívico Grand Bourg Heliport,-24.7806,-65.4514,4132.0,AR-A,Salta,25
648,38834,heliport,Finca Las Costas Heliport,-24.7703,-65.4956,4300.0,AR-A,Salta,25
649,38869,heliport,Hospital De Milagro Heliport,-24.7731,-65.4156,4068.0,AR-A,Salta,25
650,38871,heliport,Hospital Municipal Heliport,-34.4489,-59.4494,154.0,AR-B,San Andres De Giles,25
651,38720,heliport,Arelauquen Heliport,-41.1612,-71.3659,3099.0,AR-R,San Carlos De Bariloche,25
652,38784,heliport,Complejo Llao Llao Heliport,-41.0544,-71.5339,2542.0,AR-R,San Carlos De Bariloche,25
653,39014,heliport,Sarthou S.A. Heliport,-34.3642,-58.5497,15.0,AR-B,San Fernando,25
654,38781,heliport,Club Nautico San Isidro Heliport,-34.4614,-58.5003,6.0,AR-B,San Isidro,25
655,38770,heliport,Cerro Chapelco Heliport,-40.1981,-71.3211,4281.0,AR-Q,San Martín De Los Andes,25
656,38820,heliport,Estancia La Candelaria Heliport,-40.0442,-71.3664,2997.0,AR-Q,San Martin De Los Andes,25
657,38985,heliport,Rancho De Montaña Heliport,-40.1525,-71.2856,3297.0,AR-Q,San Martín De Los Andes,25
658,38721,heliport,Aries Heliport,-52.6831,-68.0419,,AR-V,Santa Cruz,25
659,38866,heliport,Heliplataforma/Rio Cullen-Hidra Norte Heliport,-52.8206,-68.2192,65.0,AR-V,Santa Cruz,25
660,38829,small_airport,Estancia San Ramón Airport,-50.303495,-69.926057,1226.0,AR-Z,Santa Cruz,25
661,38861,heliport,Heliplataforma Am I Heliport,-52.5192,-68.3858,98.0,AR-Z,Santa Cruz,25
662,38862,heliport,Heliplataforma Carina Heliport,-52.7572,-67.2194,30.0,AR-Z,Santa Cruz,25
663,38863,heliport,Heliplataforma/Am-2 Heliport,-52.5489,-68.3125,134.0,AR-Z,Santa Cruz,25
664,38864,heliport,Heliplataforma/Am3 Heliport,-52.5228,-68.2808,134.0,AR-Z,Santa Cruz,25
665,38865,heliport,Heliplataforma/Am5 Heliport,-52.5706,-68.2533,98.0,AR-Z,Santa Cruz,25
666,38881,heliport,Isla Santa Mónica Heliport,-34.4147,-58.5072,14.0,AR-B,Tigre,25
667,38821,heliport,Estancia La Chacota Heliport,-35.9133,-62.6417,295.0,AR-B,Trenque Lauquen,25
668,38958,heliport,Norberto Cordeiro Heliport,-31.4142,-64.4969,2036.0,AR-X,Villa Carlos Paz,25
669,38779,heliport,Citefa Heliport,-34.5575,-58.5056,55.0,AR-B,Villa Martelli,25
670,38918,heliport,Las Chacritas Heliport,-34.405,-58.8631,64.0,AR-B,Villa Rosa,25
671,324545,small_airport,La Sistina Airstrip,-36.974031,-62.436969,,AR-B,,0
672,313014,small_airport,Puerto Piramides Airport,-42.550804,-64.269397,,AR-U,,0
673,313015,small_airport,Punta Delgada Field,-42.764154,-63.643799,,AR-U,,0
674,313021,small_airport,Camerones Field,-44.76667,-65.71667,,AR-U,,0
675,313022,small_airport,Caleta Valdés Field,-42.454874,-63.619080000000004,,AR-U,,0
676,313090,small_airport,Telsen,-42.383333,-66.95,,AR-U,,0
677,313091,small_airport,Gan Gan Field,-42.521363,-68.28786099999999,,AR-U,,0
678,313092,small_airport,Gastre Field,-42.276165,-69.22189200000001,,AR-U,,0
679,313093,small_airport,Cushamen Field,-42.17195981,-70.66617600000001,,AR-U,,0
680,313094,small_airport,Las Plumas Filed,-43.729305,-67.28482199999999,,AR-U,,0
681,314778,small_airport,Rio Chico Highway Strip,-53.641999999999996,-67.9486,26.0,AR-V,,0
682,327585,small_airport,Loma Alta Airport,-29.049088,-57.081729,295.0,AR-W,,0
683,42898,heliport,Heliplataforma Equipo Modular M-10 Heliport,-52.5489,-68.3119,108.0,AR-Z,,0
684,313007,small_airport,Aeroclub de El Chaltén Alf. G.N.A. Walter Omar D Anna,-49.328889000000004,-72.93,1279.0,AR-Z,,0
685,313008,small_airport,Hipólito Yrigoyen Lago Posadas Airport,-47.565833000000005,-71.74,,AR-Z,,0
686,327590,small_airport,Estancia El Pinocho,-32.564739,-58.51746,56.0,AR-E,Aldea San Antonio,0
687,318509,heliport,D.P. El Vapor Heliport,-34.83467,-58.384980000000006,91.0,AR-B,Almirante Brown,0
688,318230,small_airport,Agroalvear S.R.L. Airport,-33.068329999999996,-60.666940000000004,104.0,AR-S,Alvear,0
689,321708,small_airport,Augusto Leguizamon Airport,-34.818011,-62.477107,357.0,AR-B,Ameghino,0
690,324978,small_airport,Anillaco Airport,-28.795111,-66.914675,4264.0,AR-F,Anillaco,0
691,318231,small_airport,Arias Airport,-33.664,-62.3751,415.0,AR-X,Arias,0
692,323147,small_airport,Arroyo de la Ventana Airport,-41.669222,-66.097071,,AR-R,Arroyo de la Ventana,0
693,323149,small_airport,Arroyo Los Berros Airport,-41.438981,-66.09018499999999,,AR-R,Arroyo Los Berros,0
694,323143,small_airport,Bahía Laura Airport,-48.331097,-66.417847,,AR-Z,Bahía Laura,0
695,318238,small_airport,Estancia La Alborada,-37.462706,-58.188556999999996,209.0,AR-B,Balcarce,0
696,318241,small_airport,Finca Cuchuy Airport,-23.04,-63.7211,928.0,AR-A,Ballivian,0
697,321709,small_airport,Dutto Airport,-28.870432,-62.241535,285.0,AR-G,Bandera,0
698,42896,heliport,Heliplataforma Barcaza Yagana Heliport,-52.5225,-68.2806,49.0,AR-Z,Barcaza Yagana,0
699,321710,small_airport,Malfato Airport,-35.1517,-60.5056,187.0,AR-B,Bragado,0
700,42897,heliport,Heliplataforma Buque Skandi Patagonia Heliport,-52.0,-67.0,,AR-Z,Buque Skandi,0
701,318243,small_airport,Calchaqui Airport,-29.851670000000002,-60.291940000000004,184.0,AR-S,Calchaqui,0
702,298325,small_airport,Aerocampo CSA airport,-31.661454441500002,-63.277130127,630.0,AR-X,Calchin,0
703,318244,small_airport,Stiefel Airport,-31.99472,-61.60278,232.0,AR-S,Cañada Rosquin,0
704,45153,heliport,Cañuelas Gas SA Heliport ,-35.0583,-58.7883,95.0,AR-B,Cañuelas ,0
705,327603,small_airport,Estancia La Elisa Airport,-34.038888,-59.77694399999999,154.0,AR-B,Capitan Sarmiento,0
706,318245,small_airport,Fumagro Airport,-37.214729,-62.780581000000005,364.0,AR-B,Carhue,0
707,321732,small_airport,Malatini Airport,-35.569123,-61.368224,268.0,AR-B,Carlos Casares,0
708,321733,small_airport,Ottaviani Airport,-35.648137,-61.350425,268.0,AR-B,Carlos Casares,0
709,318246,small_airport,Establecimiento La Maria Pilar Airport,-36.488606,-63.432958,410.0,AR-L,Catrilo,0
710,321746,small_airport,Las 2 A Airport,-34.811475,-60.51701,196.0,AR-B,Chacabuco,0
711,321734,small_airport,Copetonas Airport,-38.743657,-60.553332,167.0,AR-B,Copetonas,0
712,42889,heliport,Berrini Heliport,-31.4397,-64.3433,1811.0,AR-X,Córdoba,0
713,318510,heliport,Centro Cívico Bicentenario Heliport,-31.420370000000002,-64.17323499999999,1306.0,AR-X,Córdoba,0
